"sample_id"	"Animal_ID"	"gender"	"time_collect"	"heart"	"Strain"	"Diet"	"Field"	"Dose"	"group"	"RIN"	"QPCR_mol"	"concentration"	"group_new"
"F1"	"F1"	"W7-1F"	"female"	"young"	"RV"	"C57B1/6J"	"Normal"	"Mix"	0.5	"Mix_female_young"	6.1	6.77	14.15	"simGCRsim female 440d"
"F16"	"F16"	"WG7-1F"	"female"	"young"	"RV"	"C57B1/6J"	"Normal"	"Gamma"	1	"Gamma_female_young"	6.2	5.67	19.64	"Gamma female 440d"
"F17"	"F17"	"WG7-2F"	"female"	"young"	"RV"	"C57B1/6J"	"Normal"	"Gamma"	1	"Gamma_female_young"	8.4	6.68	27.3	"Gamma female 440d"
"F18"	"F18"	"WG7-3F"	"female"	"young"	"RV"	"C57B1/6J"	"Normal"	"Gamma"	1	"Gamma_female_young"	8.6	7	20.93	"Gamma female 440d"
"F19"	"F19"	"WG7-4F"	"female"	"young"	"RV"	"C57B1/6J"	"Normal"	"Gamma"	1	"Gamma_female_young"	6.5	7.05	22.9	"Gamma female 440d"
"F2"	"F2"	"W7-3F"	"female"	"young"	"RV"	"C57B1/6J"	"Normal"	"Mix"	0.5	"Mix_female_young"	8.4	7.58	32.26	"simGCRsim female 440d"
"F21"	"F21"	"W23-1F"	"female"	"old"	"RV"	"C57B1/6J"	"Normal"	"Mix"	0.5	"Mix_female_old"	6.5	6.53	22.52	"simGCRsim female 550d"
"F22"	"F22"	"W23-2F"	"female"	"old"	"RV"	"C57B1/6J"	"Normal"	"Mix"	0.5	"Mix_female_old"	7.8	5.93	29.78	"simGCRsim female 550d"
"F23"	"F23"	"W21-1F"	"female"	"old"	"RV"	"C57B1/6J"	"Normal"	"Mix"	0.5	"Mix_female_old"	6.5	6.5	22.55	"simGCRsim female 550d"
"F24"	"F24"	"W21-2F"	"female"	"old"	"RV"	"C57B1/6J"	"Normal"	"Mix"	0.5	"Mix_female_old"	7.7	5.41	29.28	"simGCRsim female 550d"
"F25"	"F25"	"W24-1F"	"female"	"old"	"RV"	"C57B1/6J"	"Normal"	"Mix"	0.5	"Mix_female_old"	6.1	6.3	20.78	"simGCRsim female 550d"
"F26"	"F26"	"W35-1F"	"female"	"old"	"RV"	"C57B1/6J"	"Normal"	"Sham"	0	"Sham_female_old"	6	5.78	19.89	"Sham female 550d"
"F27"	"F27"	"W35-2F"	"female"	"old"	"RV"	"C57B1/6J"	"Normal"	"Sham"	0	"Sham_female_old"	5.4	5.66	22.3	"Sham female 550d"
"F28"	"F28"	"W35-3F"	"female"	"old"	"RV"	"C57B1/6J"	"Normal"	"Sham"	0	"Sham_female_old"	4.9	4.84	21.55	"Sham female 550d"
"F29"	"F29"	"W33-1F"	"female"	"old"	"RV"	"C57B1/6J"	"Normal"	"Sham"	0	"Sham_female_old"	4.1	6.62	14.14	"Sham female 550d"
"F3"	"F3"	"W19-1F"	"female"	"young"	"RV"	"C57B1/6J"	"Normal"	"Mix"	0.5	"Mix_female_young"	8.5	7.27	26.26	"simGCRsim female 440d"
"F30"	"F30"	"W33-2F"	"female"	"old"	"RV"	"C57B1/6J"	"Normal"	"Sham"	0	"Sham_female_old"	5.6	5.21	22.57	"Sham female 550d"
"F36"	"F36"	"WG12-1F"	"female"	"old"	"RV"	"C57B1/6J"	"Normal"	"Gamma"	1	"Gamma_female_old"	6.8	4.6	18.96	"Gamma female 550d"
"F37"	"F37"	"WG12-2F"	"female"	"old"	"RV"	"C57B1/6J"	"Normal"	"Gamma"	1	"Gamma_female_old"	7.4	5.41	23.64	"Gamma female 550d"
"F38"	"F38"	"WG12-3F"	"female"	"old"	"RV"	"C57B1/6J"	"Normal"	"Gamma"	1	"Gamma_female_old"	6.6	6.75	27.02	"Gamma female 550d"
"F39"	"F39"	"WG9-1F"	"female"	"old"	"RV"	"C57B1/6J"	"Normal"	"Gamma"	1	"Gamma_female_old"	5.7	6.99	20.7	"Gamma female 550d"
"F4"	"F4"	"W19-2F"	"female"	"young"	"RV"	"C57B1/6J"	"Normal"	"Mix"	0.5	"Mix_female_young"	6.8	8.01	17.51	"simGCRsim female 440d"
"F40"	"F40"	"WG9-2F"	"female"	"old"	"RV"	"C57B1/6J"	"Normal"	"Gamma"	1	"Gamma_female_old"	7.1	8.73	24.27	"Gamma female 550d"
"F5"	"F5"	"W19A-1F"	"female"	"young"	"RV"	"C57B1/6J"	"Normal"	"Mix"	0.5	"Mix_female_young"	8	9.93	28.29	"simGCRsim female 440d"
"F6"	"F6"	"W31-1F"	"female"	"young"	"RV"	"C57B1/6J"	"Normal"	"Sham"	0	"Sham_female_young"	7.6	6.04	27.02	"Sham female 440d"
"F7"	"F7"	"W31-2F"	"female"	"young"	"RV"	"C57B1/6J"	"Normal"	"Sham"	0	"Sham_female_young"	7.2	7.16	24.18	"Sham female 440d"
"F8"	"F8"	"W31-3F"	"female"	"young"	"RV"	"C57B1/6J"	"Normal"	"Sham"	0	"Sham_female_young"	5.9	9.64	21.1	"Sham female 440d"
"F9"	"F9"	"W32-1F"	"female"	"young"	"RV"	"C57B1/6J"	"Normal"	"Sham"	0	"Sham_female_young"	7.3	7.78	20.28	"Sham female 440d"
"M1"	"M1"	"W7-2"	"male"	"young"	"RV"	"C57Bl/6J"	"Normal"	"Mix"	0.5	"Mix_male_young"	7.7	5.92	17.36	"simGCRsim male 440d"
"M10"	"M10"	"W47-2"	"male"	"young"	"RV"	"C57Bl/6J"	"Normal"	"Sham"	0	"Sham_male_young"	6	5.55	42.99	"Sham male 440d"
"M16"	"M16"	"WG7-1"	"male"	"young"	"RV"	"C57Bl/6J"	"Normal"	"Gamma"	1	"Gamma_male_young"	9.1	5.4	40.1	"Gamma male 440d"
"M17"	"M17"	"WG11-1"	"male"	"young"	"RV"	"C57Bl/6J"	"Normal"	"Gamma"	1	"Gamma_male_young"	7.8	7.62	32.62	"Gamma male 440d"
"M18"	"M18"	"WG11-2"	"male"	"young"	"RV"	"C57Bl/6J"	"Normal"	"Gamma"	1	"Gamma_male_young"	8.7	6.95	48.65	"Gamma male 440d"
"M19"	"M19"	"WG11-3"	"male"	"young"	"RV"	"C57Bl/6J"	"Normal"	"Gamma"	1	"Gamma_male_young"	8.7	6.65	36.99	"Gamma male 440d"
"M20"	"M20"	"WG12-1"	"male"	"young"	"RV"	"C57Bl/6J"	"Normal"	"Gamma"	1	"Gamma_male_young"	8.8	4.73	53.88	"Gamma male 440d"
"M21"	"M21"	"W16-2"	"male"	"old"	"RV"	"C57Bl/6J"	"Normal"	"Mix"	0.5	"Mix_male_old"	5.7	6.2	35.2	"simGCRsim male 660d"
"M22"	"M22"	"W16-3"	"male"	"old"	"RV"	"C57Bl/6J"	"Normal"	"Mix"	0.5	"Mix_male_old"	4.6	5.4	34.59	"simGCRsim male 660d"
"M23"	"M23"	"W16-4"	"male"	"old"	"RV"	"C57Bl/6J"	"Normal"	"Mix"	0.5	"Mix_male_old"	4.5	4.89	29.83	"simGCRsim male 660d"
"M24"	"M24"	"W16-5"	"male"	"old"	"RV"	"C57Bl/6J"	"Normal"	"Mix"	0.5	"Mix_male_old"	4.6	5.91	46.73	"simGCRsim male 660d"
"M25"	"M25"	"W17-1"	"male"	"old"	"RV"	"C57Bl/6J"	"Normal"	"Mix"	0.5	"Mix_male_old"	4.5	6.09	36.54	"simGCRsim male 660d"
"M26"	"M26"	"W42-1"	"male"	"old"	"RV"	"C57Bl/6J"	"Normal"	"Sham"	0	"Sham_male_old"	5.1	5.6	30.19	"Sham male 660d"
"M27"	"M27"	"W42-2"	"male"	"old"	"RV"	"C57Bl/6J"	"Normal"	"Sham"	0	"Sham_male_old"	7.3	6.86	21.24	"Sham male 660d"
"M28"	"M28"	"W42-3"	"male"	"old"	"RV"	"C57Bl/6J"	"Normal"	"Sham"	0	"Sham_male_old"	3.6	5.37	16.71	"Sham male 660d"
"M29"	"M29"	"WG45-1"	"male"	"old"	"RV"	"C57Bl/6J"	"Normal"	"Sham"	0	"Sham_male_old"	3.6	6.05	21.45	"Sham male 660d"
"M30"	"M30"	"W44-1"	"male"	"old"	"RV"	"C57Bl/6J"	"Normal"	"Sham"	0	"Sham_male_old"	5.7	5.12	20.27	"Sham male 660d"
"M36"	"M36"	"WG4-1"	"male"	"old"	"RV"	"C57Bl/6J"	"Normal"	"Gamma"	1	"Gamma_male_old"	7.6	5.47	23.89	"Gamma male 660d"
"M37"	"M37"	"WG4-2"	"male"	"old"	"RV"	"C57Bl/6J"	"Normal"	"Gamma"	1	"Gamma_male_old"	7.9	4.59	23.96	"Gamma male 660d"
"M38"	"M38"	"WG6-1"	"male"	"old"	"RV"	"C57Bl/6J"	"Normal"	"Gamma"	1	"Gamma_male_old"	8	4.42	24.99	"Gamma male 660d"
"M39"	"M39"	"WG6-2"	"male"	"old"	"RV"	"C57Bl/6J"	"Normal"	"Gamma"	1	"Gamma_male_old"	8.6	4.7	40.69	"Gamma male 660d"
"M4"	"M4"	"W10-1"	"male"	"young"	"RV"	"C57Bl/6J"	"Normal"	"Mix"	0.5	"Mix_male_young"	8.2	4.24	40.55	"simGCRsim male 440d"
"M40"	"M40"	"WG8-1"	"male"	"old"	"RV"	"C57Bl/6J"	"Normal"	"Gamma"	1	"Gamma_male_old"	6.6	4.6	23.15	"Gamma male 660d"
"M5"	"M5"	"W10-2"	"male"	"young"	"RV"	"C57Bl/6J"	"Normal"	"Mix"	0.5	"Mix_male_young"	8.5	4.24	49.62	"simGCRsim male 440d"
"M6"	"M6"	"W43-2"	"male"	"young"	"RV"	"C57Bl/6J"	"Normal"	"Sham"	0	"Sham_male_young"	5.4	4.32	31.92	"Sham male 440d"
"M7"	"M7"	"W43-3"	"male"	"young"	"RV"	"C57Bl/6J"	"Normal"	"Sham"	0	"Sham_male_young"	6.7	4.57	39.78	"Sham male 440d"
"M8"	"M8"	"W45-2"	"male"	"young"	"RV"	"C57Bl/6J"	"Normal"	"Sham"	0	"Sham_male_young"	4.2	5.24	27.98	"Sham male 440d"
"M9"	"M9"	"W47-1"	"male"	"young"	"RV"	"C57Bl/6J"	"Normal"	"Sham"	0	"Sham_male_young"	4.4	5	28	"Sham male 440d"
